id,fen,example_solution
1,"rnbBkbnr/pp1p1ppp/8/8/3p4/8/PPP1PPPP/RN1QKBNR b 4","d4-d3;d3-c2;c2-b1q;f8-b4"
2,"r1bqkbnr/ppp1pppp/2n5/3P4/8/2N2N2/PPPP1PPP/R1BQKB1R b 4","e7-e6;f8-c5;d8-h4;h4-f2"
3,"r1bqkbnr/ppp1pppp/2n5/1B1P4/8/5N2/PPPP1PPP/RNBQK2R b 4","c8-g4;d8-d5;d5-f3;f3-d1"
4,"rnbBkbnr/ppp2ppp/8/3pP3/8/8/PPP1PPPP/RN1QKBNR b 4","g8-f6;f8-c5;f6-e4;c5-f2"
5,"rnbqkbQ1/ppp1ppp1/8/3p4/4P3/8/PPPP1PPP/RNB1KBNR b 4","c8-g4;b8-c6;c6-d4;d4-c2"
6,"r1bqkb1r/pppppppp/2n2P2/8/3P4/8/PPP2PPP/RNBQKBNR b 4","e7-f6;c6-e5;d8-e7;e5-f3"
7,"rnbqk1nr/pppp1ppp/8/2P1p3/8/2N1P3/PPP2PPP/R1BQKBNR b 4","g8-f6;f6-e4;d8-f6;f6-f2"
8,"rnbqkb1r/ppppp1pp/5n2/4Pp2/3P4/5N2/PPP2PPP/RNBQKB1R b 4","e7-e6;f6-e4;d8-h4;h4-f2"
9,"r1bqkbnr/ppp1pppp/2P5/3p4/4P3/8/P1PP1PPP/RNBQKBNR b 4","e7-e5;f8-c5;d8-f6;f6-f2"
10,"rnbqkbnr/pppp2pp/5p2/1B1Pp3/4P3/8/PPP2PPP/RNBQK1NR b 4","f6-f5;f8-c5;d8-h4;h4-f2"
11,"r1bqkbnr/ppp1pppp/2n5/3P4/2PP4/8/PP3PPP/RNBQKBNR b 4","c8-g4;d8-d5;d5-d4;d4-d1"
12,"rnbqkbnr/1pp1pppp/8/p2P4/P6P/8/1PPP1PP1/RNBQKBNR b 4","c8-g4;d8-d5;d5-f3;f3-d1"
13,"rnbqkbnQ/ppp1ppp1/8/3p4/2P5/4P3/PP1P1PPP/RNB1KBNR b 4","c8-g4;b8-c6;c6-d4;d4-c2"
14,"r1bqkbnr/ppp1pppp/2n5/3pP3/3P4/N7/PPP2PPP/R1BQKBNR b 4","d8-d6;d6-e6;c6-e5;e5-f3"
15,"r1bqkbnr/pppnpppp/8/3P4/2PP4/8/PP3PPP/RNBQKBNR b 4","d7-e5;d8-d5;d5-e6;e5-f3"
16,"r1bqkbnr/ppp1pppp/2n5/3N4/2PP4/8/PP2PPPP/R1BQKBNR b 4","d8-d5;c6-b4;d5-a5;b4-c2"
17,"r1bqkb1r/pppppppp/2n2n2/8/P2P1P2/7N/1PP1P1PP/RNBQKB1R b 4","c6-b4;c7-c5;d8-a5;b4-d3"
18,"rnbqkbnr/pppp1ppp/8/8/4P3/8/PPPQPPPP/RNB1KBNR b 4","f8-b4;d8-f6;f6-b2;b2-c1"
19,"rn1qkbnr/pp3ppp/2p5/1B1Pp3/8/8/PPPP1PPP/RNBbK2R w 5","h2-h4;h1-h3;h3-c3;c3-c6;c6-e6"
20,"rn1qkbnr/1pp1pppp/8/p2P4/8/5N2/PPPP1PPP/RNBbK2R w 5","f3-e5;g2-g4;g4-g5;g5-g6;g6-f7"
21,"rn1k1b1r/pp2pppp/5n2/3p4/3P4/8/PP2PPPP/RN1bKBNR w 5","g2-g3;f1-h3;b1-a3;a1-c1;c1-c8"
22,"rn1qkbnr/ppp2ppp/2n5/1B2p3/3Pp3/2N5/PPP2PPP/R1BbK1NR w 5","g1-f3;f3-e5;c1-g5;b5-c4;c4-f7"
